EXT1,EXT2,EXT3,EXT4,EXT5,EST1,EST2,EST3,EST4,EST5,AGR1,AGR2,AGR3,AGR4,AGR5,CSN1,CSN2,CSN3,CSN4,CSN5,OPN1,OPN2,OPN3,OPN4,OPN5,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
3.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,5.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,2016-11-16 20:05:08,375.0,667.0,22.0,434.0,21,1,AE,24.0,54.0
3.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,5.0,1.0,4.0,2016-09-04 16:10:04,412.0,732.0,3.0,243.0,16,1,AE,24.0,54.0
1.0,5.0,1.0,5.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,1.0,5.0,1.0,2.0,5.0,1.0,5.0,1.0,5.0,2016-04-20 06:51:53,1280.0,800.0,4.0,152.0,5,1,AE,24.0,54.0
4.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,5.0,2018-02-05 02:38:03,375.0,667.0,51.0,302.0,15,1,AE,24.4667,54.3667
1.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,5.0,2016-06-02 11:13:52,360.0,640.0,68.0,307.0,11,1,AE,25.2582,55.3047
3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,1.0,4.0,2017-05-20 08:43:13,1366.0,768.0,23.0,298.0,16,1,AE,25.2582,55.3047
1.0,4.0,2.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,3.0,2018-04-19 22:04:04,2560.0,1440.0,22.0,172.0,11,1,AE,25.2582,55.3047
3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2017-03-16 06:06:26,1366.0,768.0,34.0,191.0,19,1,AE,24.0,54.0
4.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,3.0,4.0,5.0,1.0,5.0,1.0,5.0,2017-07-27 00:08:01,1680.0,1050.0,5.0,247.0,18,1,AE,25.2582,55.3047
4.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2018-09-19 11:15:54,1280.0,800.0,4.0,303.0,20,1,AE,24.0,54.0
1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,1.0,5.0,1.0,4.0,2017-09-05 06:17:58,375.0,667.0,4.0,120.0,6,1,AE,25.2582,55.3047
4.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,2016-12-23 07:44:34,1366.0,768.0,3.0,154.0,8,1,AE,24.0,54.0
1.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,5.0,2.0,1.0,2018-04-16 11:32:45,375.0,667.0,316.0,161.0,8,1,AE,25.2582,55.3047
3.0,4.0,4.0,3.0,0.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2018-04-08 22:55:29,1440.0,900.0,49.0,326.0,28,1,AE,24.4667,54.3667
3.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,2016-03-07 11:26:08,1280.0,800.0,73.0,159.0,9,1,AE,25.2582,55.3047
1.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,2.0,5.0,1.0,5.0,2016-04-02 00:17:33,1366.0,768.0,45.0,186.0,15,1,AE,25.2582,55.3047
2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2018-02-18 05:56:16,1366.0,768.0,46.0,333.0,45,1,AE,24.4667,54.3667
5.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,2018-03-13 10:44:03,360.0,640.0,12.0,428.0,13,1,AE,24.0,54.0
1.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,2.0,5.0,2018-04-21 12:37:12,1280.0,720.0,94.0,213.0,14,1,AE,25.2582,55.3047
3.0,3.0,1.0,5.0,3.0,4.0,1.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,5.0,2.0,5.0,1.0,4.0,2018-05-25 04:26:04,1280.0,800.0,4.0,221.0,24,1,AE,25.2582,55.3047
2.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0,3.0,1.0,5.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,0.0,2018-09-12 12:51:34,1280.0,720.0,26.0,284.0,14,1,AE,24.0,54.0
3.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,2018-05-04 13:12:58,414.0,736.0,3.0,199.0,11,1,AE,24.0,54.0
4.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,5.0,1.0,4.0,3.0,5.0,2.0,2.0,4.0,1.0,4.0,1.0,5.0,2016-07-01 15:47:34,375.0,667.0,28.0,217.0,27,1,AE,24.0,54.0
3.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,2017-04-20 22:55:10,1536.0,864.0,4.0,444.0,17,1,AE,24.1917,55.7606
4.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2018-02-04 10:49:20,1536.0,864.0,2.0,155.0,10,1,AE,24.4667,54.3667
4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,2.0,4.0,1.0,5.0,2018-02-18 05:24:36,1280.0,800.0,330.0,159.0,11,1,AE,24.0,54.0
3.0,5.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2017-02-03 07:10:06,360.0,640.0,13.0,262.0,13,1,AE,24.0,54.0
5.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,2.0,4.0,4.0,2016-09-23 05:50:58,360.0,640.0,272.0,274.0,19,1,AE,25.3573,55.4033
3.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0,2.0,4.0,2018-09-21 02:18:08,1536.0,864.0,36.0,266.0,14,1,AE,24.0,54.0
4.0,1.0,4.0,2.0,5.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2018-04-16 21:51:02,375.0,667.0,14.0,457.0,18,1,AE,25.3573,55.4033
3.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2017-07-31 10:54:06,1280.0,720.0,7.0,190.0,21,1,AE,24.4667,54.3667
3.0,4.0,2.0,4.0,2.0,1.0,5.0,4.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,2018-06-24 03:17:31,1366.0,768.0,70.0,150.0,72,1,AE,24.0,54.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,5.0,3.0,3.0,2018-10-09 11:24:07,768.0,1024.0,4.0,769.0,212,1,AE,24.1917,55.7606
3.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,3.0,4.0,4.0,1.0,2.0,2018-01-29 10:12:18,1440.0,900.0,5.0,375.0,15,1,AE,25.2582,55.3047
4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,2017-12-24 05:24:53,360.0,640.0,7.0,190.0,16,1,AE,24.0,54.0
1.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,2018-04-13 10:56:49,1366.0,768.0,51.0,491.0,24,1,AE,24.4667,54.3667
3.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,5.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2018-09-22 05:21:17,375.0,667.0,8.0,324.0,33,1,AE,24.0,54.0
3.0,1.0,4.0,1.0,5.0,5.0,3.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,4.0,2.0,5.0,1.0,4.0,2018-02-18 10:34:32,1280.0,720.0,22.0,370.0,15,1,AE,24.4667,54.3667
3.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,2016-11-26 00:53:31,1280.0,800.0,47.0,624.0,8,1,AE,24.0,54.0
1.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,2016-09-19 15:23:29,375.0,667.0,11.0,380.0,11,1,AE,24.0,54.0
4.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,5.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,2017-01-19 00:25:09,1196.0,673.0,34.0,275.0,11,1,AE,24.0,54.0
3.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2016-08-25 04:34:41,1440.0,960.0,16.0,215.0,14,1,AE,24.0,54.0
3.0,1.0,3.0,5.0,2.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,5.0,2017-03-27 06:38:33,375.0,667.0,14.0,1754.0,24,1,AE,24.0,54.0
1.0,5.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2017-11-16 04:03:03,1366.0,768.0,7.0,232.0,17,1,AE,24.0,54.0
1.0,2.0,3.0,4.0,2.0,0.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2018-10-08 22:58:50,768.0,1024.0,6247.0,450.0,12,1,AE,24.0,54.0
2.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,3.0,1.0,4.0,5.0,5.0,4.0,3.0,2017-12-17 05:35:59,1280.0,800.0,7.0,165.0,11,1,AE,24.0,54.0
3.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,2017-05-10 05:56:11,1093.0,614.0,117.0,409.0,22,1,AE,24.0,54.0
5.0,3.0,5.0,3.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,2016-03-19 13:45:52,1366.0,768.0,65.0,388.0,28,1,AE,24.0,54.0
3.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,2.0,2.0,1.0,3.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,1.0,5.0,1.0,5.0,2016-05-26 00:44:01,1920.0,1080.0,298.0,303.0,19,1,AE,25.2582,55.3047
3.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2017-05-23 11:49:37,414.0,736.0,19.0,272.0,15,1,AE,24.0,54.0
3.0,1.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,1.0,4.0,2016-07-20 04:59:41,1920.0,1080.0,4.0,228.0,9,1,AE,25.2582,55.3047
2.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,2017-03-17 09:59:53,1440.0,900.0,19.0,197.0,12,1,AE,25.2582,55.3047
4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,0.0,4.0,2.0,5.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,5.0,5.0,2.0,4.0,2018-03-08 01:15:03,1440.0,900.0,184.0,365.0,17,1,AE,25.3573,55.4033
3.0,3.0,2.0,0.0,1.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,2016-03-23 13:38:13,768.0,1024.0,36.0,288.0,14,1,AE,25.3573,55.4033
3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,5.0,3.0,3.0,2016-12-04 10:17:22,1280.0,800.0,831.0,303.0,17,1,AE,24.0,54.0
3.0,1.0,3.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,2.0,5.0,3.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,3.0,2018-10-29 10:41:44,1366.0,768.0,88.0,216.0,14,1,AE,25.3573,55.4033
4.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,1.0,5.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,2017-10-07 05:49:46,375.0,667.0,10.0,538.0,24,1,AE,24.4667,54.3667
3.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2018-03-18 14:24:01,375.0,812.0,3.0,145.0,12,1,AE,24.0,54.0
1.0,5.0,1.0,5.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2016-06-09 17:07:00,360.0,640.0,242.0,283.0,21,1,AE,24.4667,54.3667
